__id,Geo Point,Geo Shape,gares_id,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,indice_lig,mode,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y,picto ligne,nom_iv
30,"48.83422588267789, 2.318616414425384","{""coordinates"": [2.318616414425384, 48.83422588267789], ""type"": ""Point""}",636,Pernety,,,412687,Pernety,44316,Pernety,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649983.4886,6859568.2262,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Pernety
238,"48.86002845820203, 2.3139151192031537","{""coordinates"": [2.313915119203154, 48.86002845820203], ""type"": ""Point""}",362,Invalides,,,71274,Invalides,43407,Invalides,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649663.3303,6862440.1994,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Invalides
355,"48.81530753120022, 2.2970777969729843","{""coordinates"": [2.297077796972984, 48.81530753120022], ""type"": ""Point""}",505,"Malakoff - Rue Étienne Dolet",,,70562,"Malakoff - Étienne Dolet",44069,"Malakoff Rue Étienne Dolet",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,648383.7761,6857478.6018,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Malakoff - Rue Étienne Dolet"
360,"48.87376998959543, 2.31445603617697","{""coordinates"": [2.31445603617697, 48.87376998959543], ""type"": ""Point""}",548,Miromesnil,,,71346,Miromesnil,43511,Miromesnil,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649716.2811,6863967.8011,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Miromesnil
362,"48.87963476065682, 2.3270222008895027","{""coordinates"": [2.327022200889503, 48.87963476065682], ""type"": ""Point""}",467,Liège,,,71382,Liège,43814,Liège,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650643.5277,6864611.9937,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Liège
363,"48.90323367878661, 2.306010915009083","{""coordinates"": [2.306010915009083, 48.90323367878661], ""type"": ""Point""}",491,"Mairie de Clichy",,,72118,"Mairie de Clichy",44012,"Mairie de Clichy",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649125.6534,6867249.3956,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Mairie de Clichy"
364,"48.91196489788089, 2.3339248904797145","{""coordinates"": [2.333924890479715, 48.91196489788089], ""type"": ""Point""}",493,"Mairie de Saint-Ouen",,,72168,"Mairie de Saint-Ouen",43969,"Mairie de Saint-Ouen",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,651180.0871,6868202.6512,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Mairie de Saint-Ouen"
370,"48.82779554349536, 2.305534669653895","{""coordinates"": [2.305534669653895, 48.82779554349536], ""type"": ""Point""}",700,"Porte de Vanves",,,71006,"Porte de Vanves",44526,"Porte de Vanves",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649016.968,6858861.6144,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Porte de Vanves"
377,"48.85144170744032, 2.314408121472487","{""coordinates"": [2.314408121472487, 48.85144170744032], ""type"": ""Point""}",765,Saint-François-Xavier,,,71204,"Saint-François Xavier",45139,"Saint-François Xavier",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649691.21,6861485.1181,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Saint-François-Xavier
381,"48.85687137924919, 2.315056637317088","{""coordinates"": [2.315056637317088, 48.85687137924919], ""type"": ""Point""}",873,Varenne,,,71232,Varenne,45131,Varenne,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649744.034,6862088.4335,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Varenne
392,"48.822583707737074, 2.298464191958535","{""coordinates"": [2.298464191958535, 48.822583707737074], ""type"": ""Point""}",504,"Malakoff - Plateau de Vanves",,,73766,"Malakoff - Plateau De Vanves",413433,"Malakoff - Plateau De Vanves",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,648492.7655,6858286.7118,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Malakoff - Plateau de Vanves"
471,"48.892206827747096, 2.3272198679191285","{""coordinates"": [2.327219867919128, 48.892206827747096], ""type"": ""Point""}",342,"Guy Môquet",,,71528,Guy-Môquet,43333,"Guy Môquet",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650669.9354,6866009.8077,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Guy Môquet"
524,"48.83182565048563, 2.3141223234590225","{""coordinates"": [2.314122323459022, 48.83182565048563], ""type"": ""Point""}",656,Plaisance,,,71039,"Plaisance / Vercingétorix",45322,Plaisance,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649651.2929,6859304.2041,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Plaisance
529,"48.897374796428764, 2.3289428127683025","{""coordinates"": [2.328942812768303, 48.897374796428764], ""type"": ""Point""}",696,"Porte de Saint-Ouen",,,72078,"Porte de Saint-Ouen",44525,"Porte de Saint-Ouen",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650801.1471,6866583.3842,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Porte de Saint-Ouen"
538,"48.94586727214251, 2.3646364825042263","{""coordinates"": [2.364636482504226, 48.94586727214251], ""type"": ""Point""}",763,"Saint-Denis - Université",,,72358,"Saint-Denis Université (Paris 8)",44860,"Saint-Denis - Université",A01546,C01383,"METRO 13",13,METRO,0,0,"METRO 13",0,0,RATP,t,f,653461.3754,6871954.0026,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Saint-Denis - Université"
541,"48.92310377966602, 2.2862795775297826","{""coordinates"": [2.286279577529783, 48.92310377966602], ""type"": ""Point""}",1007,"Les Agnettes",,,72240,"Les Agnettes",43693,"Les Agnettes",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,647699.216,6869471.7685,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Les Agnettes"
612,"48.87542071665263, 2.32547637444705","{""coordinates"": [2.32547637444705, 48.87542071665263], ""type"": ""Point""}",770,Saint-Lazare,,,71370,"Gare Saint-Lazare",462374,Saint-Lazare,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,t,650526.1561,6864144.3886,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Saint-Lazare
830,"48.89425226223873, 2.313772157405782","{""coordinates"": [2.313772157405782, 48.89425226223873], ""type"": ""Point""}",689,"Porte de Clichy",,,71545,"Porte de Clichy",473477,"Porte de Clichy",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649685.914,6866245.7339,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Porte de Clichy"
843,"48.89058718661181, 2.320174757151551","{""coordinates"": [2.320174757151551, 48.89058718661181], ""type"": ""Point""}",113,Brochant,,,73661,Brochant,45487,Brochant,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650151.8309,6865834.137,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Brochant
846,"48.91900755521728, 2.3426080144231554","{""coordinates"": [2.342608014423155, 48.91900755521728], ""type"": ""Point""}",126,"Carrefour Pleyel",,,72217,"Carrefour Pleyel",42447,"Carrefour Pleyel",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,651823.021,6868980.4409,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Carrefour Pleyel"
847,"48.86760214522151, 2.3138941304816147","{""coordinates"": [2.313894130481615, 48.86760214522151], ""type"": ""Point""}",145,"Champs-Élysées – Clemenceau","Grand Palais",,71305,"Champs-Élysées Clemenceau",42531,"Champs-Élysées Clemenceau",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649669.1079,6863282.3427,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Champs-Élysées – Clemenceau"
851,"48.916382309922106, 2.2946851117025546","{""coordinates"": [2.294685111702555, 48.916382309922106], ""type"": ""Point""}",297,"Gabriel Péri",,,72203,"Gabriel Péri",43042,"Gabriel Péri",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,648308.4732,6868718.8268,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Gabriel Péri"
855,"48.88718394686579, 2.3257796748068915","{""coordinates"": [2.325779674806892, 48.88718394686579], ""type"": ""Point""}",416,"La Fourche",,,71474,"La Fourche",43548,"La Fourche",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650559.5701,6865452.1927,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"La Fourche"
876,"48.929935889678696, 2.3560357941727967","{""coordinates"": [2.356035794172797, 48.929935889678696], ""type"": ""Point""}",762,"Saint-Denis - Porte de Paris",,,72285,"Saint-Denis Porte de Paris",473458,"Saint-Denis Porte de Paris",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,652816.9646,6870187.543,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Saint-Denis - Porte de Paris"
879,"48.93075700423553, 2.284174448270923","{""coordinates"": [2.284174448270923, 48.93075700423553], ""type"": ""Point""}",1008,"Les Courtilles",,,72286,"Asnières - Gennevilliers Les Courtilles",42231,"Asnières - Gennevilliers Les Courtilles",A01546,C01383,"METRO 13",13,METRO,0,0,"METRO 13",0,0,RATP,t,t,647552.6733,6870324.1849,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Les Courtilles"
984,"48.84705255542817, 2.3164243520508925","{""coordinates"": [2.316424352050892, 48.84705255542817], ""type"": ""Point""}",247,Duroc,,,71159,Duroc,42874,Duroc,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,649834.9325,6860995.8051,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Duroc
985,"48.810746486780936, 2.3016785554824284","{""coordinates"": [2.301678555482428, 48.810746486780936], ""type"": ""Point""}",171,Châtillon-Montrouge,,,461505,"Châtillon Montrouge",42588,Châtillon-Montrouge,A01546,C01383,"METRO 13",13,METRO,0,0,"METRO 13",0,0,RATP,t,f,648717.1202,6856968.4784,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Châtillon-Montrouge
988,"48.838631646237154, 2.322491748462238","{""coordinates"": [2.322491748462238, 48.838631646237154], ""type"": ""Point""}",299,Gaîté,,,73675,Gaîté,43046,Gaîté,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650272.1512,6860055.6505,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Gaîté
1002,"48.8838045280338, 2.3272434105874065","{""coordinates"": [2.327243410587406, 48.8838045280338], ""type"": ""Point""}",648,"Place de Clichy",,,71435,"Place de Clichy",44372,"Place de Clichy",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,650663.7013,6865075.5065,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Place de Clichy"
1020,"48.84232743772649, 2.320984834266813","{""coordinates"": [2.320984834266813, 48.84232743772649], ""type"": ""Point""}",563,Montparnasse-Bienvenüe,,,71139,"Gare Montparnasse",58578,"Montparnasse Bienvenue",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,t,650165.083,6860467.533,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Montparnasse-Bienvenüe
1024,"48.906094050248626, 2.3318308379624098","{""coordinates"": [2.33183083796241, 48.906094050248626], ""type"": ""Point""}",323,Garibaldi,,,72128,Garibaldi,43252,Garibaldi,A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,651021.0832,6867551.1312,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Garibaldi
1082,"48.93677678991262, 2.3593662963605984","{""coordinates"": [2.359366296360598, 48.93677678991262], ""type"": ""Point""}",761,"Basilique de Saint-Denis","Hôtel de Ville",,72326,"Basilique de Saint-Denis",463329,"Basilique de Saint-Denis",A01546,C01383,"METRO 13",13,METRO,0,0,0,0,0,RATP,t,f,653067.1558,6870946.2603,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,"Basilique de Saint-Denis"
