ID_Line;Name_Line;ShortName_Line;TransportMode;TransportSubmode;Type;OperatorRef;OperatorName;AdditionalOperatorsRef;NetworkName;ColourWeb_hexa;TextColourWeb_hexa;ColourPrint_CMJN;TextColourPrint_hexa;Accessibility;Audiblesigns_Available;Visualsigns_Available;ID_GroupOfLines;ShortName_GroupOfLines;Notice_Title;Notice_Text;Picto;Valid_fromDate;Valid_toDate;Status;PrivateCode
C01373;3;3;metro;;;100;RATP;;;6e6e00;ffffff;46 33 100 0;ffffff;false;unknown;unknown;A01536;3;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/418ea5fcc3bf22ac253c1aafcd531684;2014-07-16;;active;100110003
C01377;7;7;metro;;;100;RATP;;;f49fb3;000000;0 35 27 4;000000;false;unknown;unknown;A01540;7;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/b29f81837830b3a14fb876aaecc20e9c;2014-07-16;;active;100110007
C01379;9;9;metro;;;100;RATP;;;b6bd00;000000;4 0 100 26;000000;false;unknown;unknown;A01542;9;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/5fe858163d92581d16bcab8aba61f26a;2014-07-16;;active;100110009
C01384;14;14;metro;;;100;RATP;;;62259d;ffffff;38 77 0 38;ffffff;true;unknown;unknown;A01547;14;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/7b99df056fae694cd8d96c160696d757;2014-07-16;;active;100110014
C01376;6;6;metro;;;100;RATP;;;6eca97;000000;45 0 25 21;000000;false;unknown;unknown;A01539;6;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/11ba6d8a602ec0780fe8c01aa58b542d;2014-07-16;;active;100110006
C01380;10;10;metro;;;100;RATP;;;c9910d;000000;0 28 94 21;000000;false;unknown;unknown;A01543;10;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/4adaa198c6e4212d9f8bfe0e744ba857;2014-07-16;;active;100110010
C01387;7B;7B;metro;;;100;RATP;;;6eca97;000000;45 0 25 21;000000;false;unknown;unknown;A01550;7 Bis;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/e08d6e9d99727bb7d55ffc5c44801f72;2014-07-16;;active;100110107
C01372;2;2;metro;;;100;RATP;;;0055c8;ffffff;100 54 0 0;ffffff;false;unknown;unknown;A01535;2;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/cdaa0aa338d1acbd2e9d31fe21fc6eb7;2014-07-16;;active;100110002
C01374;4;4;metro;;;100;RATP;;;a0006e;ffffff;26 85 0 0;ffffff;false;unknown;unknown;A01537;4;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/827ff49af57d362f6a7c5f2d1022528c;2014-07-16;;active;100110004
C01378;8;8;metro;;;100;RATP;;;d282be;000000;21 38 0 0;000000;false;unknown;unknown;A01541;8;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/6dc2bda2dcd7cffbde8cf5a6c194ba59;2014-07-16;;active;100110008
C01381;11;11;metro;;;100;RATP;;;704b1c;ffffff;0 33 75 56;ffffff;false;unknown;unknown;A01544;11;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/091275f9a999a893de5eb4703e1a74af;2014-07-16;;active;100110011
C01383;13;13;metro;;;100;RATP;;;6ec4e8;000000;53 16 0 9;000000;false;unknown;unknown;A01546;13;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/0b8a36241880cd49a78f24dbaca0433b;2014-07-16;;active;100110013
C01371;1;1;metro;;;100;RATP;;;ffbe00;000000;0 19 100 0;000000;false;unknown;unknown;A01534;1;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/8e63c8180c0378991029ec5141e4c6a5;2014-07-16;;active;100110001
C01382;12;12;metro;;;100;RATP;;;007852;ffffff;100 0 33 53;ffffff;false;unknown;unknown;A01545;12;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/68749e9f1ce05a0a4cae6610f95eecc0;2014-07-16;;active;100110012
C01386;3B;3B;metro;;;100;RATP;;;6ec4e8;000000;53 16 0 9;000000;false;unknown;unknown;A01549;3 Bis;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/157da4ee0a222feb976fc9acc40c568b;2014-07-16;;active;100110103
C01375;5;5;metro;;;100;RATP;;;ff7e2e;000000;0 51 82 0;000000;false;unknown;unknown;A01538;5;;;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/e1babbb11951e80ae32d076528ef2ad1;2014-07-16;;active;100110005
